Time,Pack Amperage (Current)
Thu Oct 17 18:22:05 CST 2024,12.1
Thu Oct 17 18:22:05 CST 2024,14.8
Thu Oct 17 18:22:05 CST 2024,15.8
Thu Oct 17 18:22:05 CST 2024,16.9
Thu Oct 17 18:22:05 CST 2024,18
Thu Oct 17 18:22:05 CST 2024,19.5
Thu Oct 17 18:22:05 CST 2024,19.5
Thu Oct 17 18:22:05 CST 2024,18.3
Thu Oct 17 18:22:05 CST 2024,13.6
Thu Oct 17 18:22:05 CST 2024,11.7
Thu Oct 17 18:22:06 CST 2024,10.1
Thu Oct 17 18:22:06 CST 2024,10.2
Thu Oct 17 18:22:06 CST 2024,14
Thu Oct 17 18:22:06 CST 2024,14.7
Thu Oct 17 18:22:06 CST 2024,15.4
Thu Oct 17 18:22:06 CST 2024,15.7
Thu Oct 17 18:22:06 CST 2024,16.3
Thu Oct 17 18:22:06 CST 2024,15.6
Thu Oct 17 18:22:06 CST 2024,13.2
Thu Oct 17 18:22:06 CST 2024,10
Thu Oct 17 18:22:07 CST 2024,1.7
Thu Oct 17 18:22:07 CST 2024,-2
Thu Oct 17 18:22:07 CST 2024,-6.1
Thu Oct 17 18:22:07 CST 2024,-6.8
Thu Oct 17 18:22:07 CST 2024,-7.9
Thu Oct 17 18:22:07 CST 2024,-9
Thu Oct 17 18:22:07 CST 2024,-9.2
Thu Oct 17 18:22:07 CST 2024,-9.4
Thu Oct 17 18:22:07 CST 2024,-7.2
Thu Oct 17 18:22:07 CST 2024,1.5
Thu Oct 17 18:22:08 CST 2024,3.2
Thu Oct 17 18:22:08 CST 2024,7.5
Thu Oct 17 18:22:08 CST 2024,7.9
Thu Oct 17 18:22:08 CST 2024,7.5
Thu Oct 17 18:22:08 CST 2024,7.5
Thu Oct 17 18:22:08 CST 2024,7.5
Thu Oct 17 18:22:08 CST 2024,7.6
Thu Oct 17 18:22:08 CST 2024,11.3
Thu Oct 17 18:22:08 CST 2024,11.5
Thu Oct 17 18:22:09 CST 2024,12.9
Thu Oct 17 18:22:09 CST 2024,14
Thu Oct 17 18:22:09 CST 2024,11.3
Thu Oct 17 18:22:09 CST 2024,7.9
Thu Oct 17 18:22:09 CST 2024,10.8
Thu Oct 17 18:22:09 CST 2024,13.2
Thu Oct 17 18:22:09 CST 2024,15.4
Thu Oct 17 18:22:09 CST 2024,16.2
Thu Oct 17 18:22:09 CST 2024,16.8
Thu Oct 17 18:22:09 CST 2024,18
Thu Oct 17 18:22:10 CST 2024,18.4
Thu Oct 17 18:22:10 CST 2024,19
Thu Oct 17 18:22:10 CST 2024,19.9
Thu Oct 17 18:22:10 CST 2024,11.9
Thu Oct 17 18:22:10 CST 2024,2.4
Thu Oct 17 18:22:10 CST 2024,2.3
Thu Oct 17 18:22:10 CST 2024,3.9
Thu Oct 17 18:22:10 CST 2024,3.6
Thu Oct 17 18:22:10 CST 2024,2.7
Thu Oct 17 18:22:10 CST 2024,2.9
Thu Oct 17 18:22:11 CST 2024,2.7
Thu Oct 17 18:22:11 CST 2024,2.7
Thu Oct 17 18:22:11 CST 2024,2.7
Thu Oct 17 18:22:11 CST 2024,2.5
Thu Oct 17 18:22:11 CST 2024,2.4
Thu Oct 17 18:22:11 CST 2024,2.3
Thu Oct 17 18:22:11 CST 2024,2.5
Thu Oct 17 18:22:11 CST 2024,4.2
Thu Oct 17 18:22:11 CST 2024,5
Thu Oct 17 18:22:11 CST 2024,7.1
Thu Oct 17 18:22:12 CST 2024,10
Thu Oct 17 18:22:12 CST 2024,13.9
Thu Oct 17 18:22:12 CST 2024,18.3
Thu Oct 17 18:22:12 CST 2024,24.5
Thu Oct 17 18:22:12 CST 2024,30.4
Thu Oct 17 18:22:12 CST 2024,35.1
Thu Oct 17 18:22:12 CST 2024,37.3
Thu Oct 17 18:22:12 CST 2024,31.9
Thu Oct 17 18:22:12 CST 2024,26.5
Thu Oct 17 18:22:12 CST 2024,19.4
Thu Oct 17 18:22:13 CST 2024,10.8
Thu Oct 17 18:22:13 CST 2024,5.9
Thu Oct 17 18:22:13 CST 2024,4.3
Thu Oct 17 18:22:13 CST 2024,3.4
Thu Oct 17 18:22:13 CST 2024,9
Thu Oct 17 18:22:13 CST 2024,11.4
Thu Oct 17 18:22:13 CST 2024,14.5
Thu Oct 17 18:22:13 CST 2024,17.1
Thu Oct 17 18:22:13 CST 2024,19.3
Thu Oct 17 18:22:13 CST 2024,19.8
Thu Oct 17 18:22:14 CST 2024,18.3
Thu Oct 17 18:22:14 CST 2024,15.7
Thu Oct 17 18:22:14 CST 2024,15.6
Thu Oct 17 18:22:14 CST 2024,14.9
Thu Oct 17 18:22:14 CST 2024,14.2
Thu Oct 17 18:22:14 CST 2024,14
Thu Oct 17 18:22:14 CST 2024,14.2
Thu Oct 17 18:22:14 CST 2024,14.1
Thu Oct 17 18:22:14 CST 2024,13.3
Thu Oct 17 18:22:14 CST 2024,13.4
Thu Oct 17 18:22:15 CST 2024,6.9
Thu Oct 17 18:22:15 CST 2024,6.1
Thu Oct 17 18:22:15 CST 2024,8.7
Thu Oct 17 18:22:15 CST 2024,11.4
Thu Oct 17 18:22:15 CST 2024,13.1
